Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	25	7	37
1	8	40	23
2	20	35	11
3	10	30	19
4	6	33	18
5	20	34	6
6	22	8	35
7	12	31	21
8	10	29	19
9	10	29	19
10	7	36	23
11	20	29	11
12	7	23	35
13	9	18	28
14	10	19	31
15	6	34	23
16	12	21	31
17	10	19	29
18	10	19	29
19	31	22	12
20	21	5	32
21	8	23	39
22	33	5	19
23	30	21	12
24	29	10	19
25	21	32	8
26	20	29	11
27	23	37	9
28	31	6	20
29	9	28	18
30	20	29	10
31	36	8	23
32	8	24	36
33	39	25	9
34	30	11	20
35	36	23	8
36	18	9	28
37	10	19	29
38	34	20	7
39	53	23	9
40	38	8	22
41	34	5	19
42	31	12	21
43	29	10	19
44	8	31	21
45	22	6	35
46	8	27	17
47	10	29	19
48	30	11	20
49	29	9	19
50	19	10	28
51	6	20	36
52	19	28	9
53	22	31	12
54	18	27	9
55	21	30	12
56	11	20	29
57	20	11	29
58	10	29	19
59	10	29	19
60	22	32	12
61	23	6	38
62	10	29	19
63	10	29	19
64	22	31	13
65	21	12	32
66	19	10	28
67	30	11	20
68	10	19	29
69	12	21	30
70	18	7	34
71	19	9	27
72	17	8	26
73	20	11	29
74	24	36	8
75	12	31	21
76	20	10	29
77	34	9	24
78	35	19	8
79	29	20	10
80	22	33	9
81	18	34	7
82	37	23	9
83	34	48	7
84	31	12	21
85	9	18	28
86	8	32	23
87	22	35	7
88	9	22	40
89	29	10	19
90	22	31	13
91	20	34	6
92	12	30	21
93	20	11	29
94	7	21	34
95	9	18	28
96	20	29	10
97	37	7	22
98	26	90	17
99	9	35	24
100	10	31	19
101	19	28	10
102	36	22	9
103	11	30	20
104	11	29	19
105	11	20	30
106	5	32	19
107	20	11	29
108	10	29	19
109	39	7	22
110	11	19	31
111	31	12	21
112	22	31	12
113	17	6	29
114	28	9	18
115	31	12	21
116	20	29	11
117	8	27	17
118	23	8	38
119	7	20	33
120	33	23	8
121	21	30	12
122	30	10	20
123	21	11	29
124	30	20	11
125	28	19	9
126	30	20	11
127	30	20	6
128	11	32	20
129	21	38	8
130	30	10	20
131	29	20	10
132	29	10	19
133	31	12	21
134	41	24	8
135	19	28	10
136	6	22	32
137	21	8	33
138	11	20	30
139	5	20	35
140	38	7	22
141	34	8	19
142	20	6	31
143	29	19	10
144	12	21	31
145	30	10	20
146	31	22	12
147	22	31	12
148	38	6	22
149	31	22	12
150	30	21	11
151	28	9	18
152	29	20	10
153	29	10	19
154	7	28	18
155	41	9	26
156	20	5	31
157	37	21	9
158	23	8	36
159	7	33	21
160	19	8	34
161	7	37	22
162	22	31	12
163	23	37	9
164	19	10	28
165	22	35	10
166	36	20	9
167	30	10	20
168	10	30	19
169	6	35	19
170	34	21	7
171	37	5	20
172	29	19	10
173	30	11	20
174	20	29	11
175	6	36	22
176	36	22	10
177	9	18	28
178	19	10	28
179	30	6	19
180	29	20	10
181	33	21	6
182	11	19	31
183	28	19	9
184	34	22	9
185	28	8	18
186	8	37	22
187	29	9	19
188	22	6	33
189	19	28	10
190	10	19	29
191	12	21	30
192	10	19	29
193	22	33	10
194	5	33	22
195	11	30	20
196	29	20	10
197	20	11	29
198	12	21	31
199	12	21	31
200	7	36	23
201	20	31	6
202	32	21	7
203	31	12	21
204	6	32	22
205	38	23	9
206	23	38	7
207	30	21	11
208	22	7	32
209	34	8	20
210	22	6	33
211	21	35	7
212	7	23	38
213	19	28	10
214	33	22	13
215	30	21	11
216	7	22	33
217	10	19	29
218	29	20	10
219	29	8	18
220	33	16	6
221	21	30	6
222	5	35	20
223	20	6	36
224	23	36	9
225	33	4	20
226	10	19	29
227	28	9	18
228	11	29	19
229	28	9	18
230	20	29	11
231	22	31	13
232	7	19	36
233	19	28	9
234	19	10	28
235	13	21	33
236	35	23	6
237	5	20	71
238	35	9	24
239	32	22	13
240	20	7	33
241	21	36	9
242	22	37	9
243	12	31	21
244	9	27	18
245	34	24	9
246	11	30	20
247	22	38	9
248	19	28	10
249	20	30	11
250	20	29	10
251	19	10	28
252	9	39	23
253	19	28	9
254	32	6	20
255	6	36	22
256	14	37	26
257	6	37	23
258	21	30	12
259	8	38	22
260	31	12	21
261	13	31	21
262	36	9	23
263	6	30	20
264	32	7	21
265	20	5	35
266	32	7	22
267	34	8	24
268	8	17	27
269	22	31	12
270	8	24	39
271	19	6	35
272	19	10	28
273	21	11	30
274	10	19	32
275	10	29	19
276	20	29	10
277	34	5	20
278	19	28	9
279	9	39	25
280	10	29	19
281	9	28	18
282	21	30	12
283	19	28	9
284	29	20	10
285	9	28	18
286	28	9	18
287	22	31	12
288	9	28	18
289	9	28	18
290	10	19	28
291	30	21	11
292	28	9	18
293	42	26	9
294	11	20	30
295	9	18	28
296	10	18	28
297	11	20	30
298	9	37	24
299	21	6	33
300	22	31	12
301	31	11	20
302	21	5	33
303	12	21	31
304	23	9	34
305	10	19	29
306	6	35	21
307	11	20	30
308	21	11	30
309	31	5	21
310	7	26	37
311	18	8	29
312	29	20	10
313	37	8	21
314	31	12	21
315	18	8	27
316	9	18	27
317	31	21	12
318	29	9	19
319	29	19	10
320	10	29	19
321	29	5	19
322	6	19	31
323	9	18	27
324	34	10	24
325	20	30	11
326	21	11	29
327	21	32	8
328	33	22	7
329	18	27	9
330	7	18	29
331	28	8	17
332	30	11	20
333	6	29	18
334	28	19	10
335	8	26	37
336	6	34	22
337	21	33	8
338	23	7	38
339	21	9	36
340	19	35	8
341	20	29	11
342	32	20	7
343	12	30	21
344	31	12	21
345	21	32	6
346	23	9	33
347	30	10	20
348	35	9	25
349	24	86	14
350	36	9	21
351	30	20	11
352	31	11	21
353	38	22	8
354	31	11	21
355	22	7	33
356	28	9	18
357	6	32	21
358	6	21	32
359	26	5	16
360	20	7	34
361	18	9	28
362	37	9	22
363	19	10	28
364	39	22	8
365	7	21	32
366	30	10	20
367	18	9	27
368	28	9	18
369	6	22	37
370	24	35	9
371	23	38	10
372	29	19	10
373	5	31	17
374	32	22	12
375	32	22	13
376	30	20	11
377	30	11	20
378	28	19	9
379	35	7	19
380	18	9	29
381	28	9	18
382	28	19	9
383	45	85	112
384	37	25	9
385	20	7	31
386	24	34	8
387	39	24	8
388	23	35	9
389	19	10	28
390	9	22	37
391	10	19	28
392	8	34	24
393	9	18	28
394	28	9	18
395	19	10	28
396	18	9	28
397	23	36	8
398	8	37	22
399	6	34	22
400	23	8	34
401	31	11	21
402	10	29	19
403	20	37	6
404	9	28	18
405	20	29	10
406	37	23	8
407	34	22	8
408	21	34	8
409	11	20	29
410	9	18	28
411	23	34	10
412	10	19	138
413	10	19	29
414	11	20	30
415	20	11	33
416	10	19	29
417	19	10	30
418	18	9	27
419	9	27	17
420	28	9	18
421	31	12	21
422	8	17	27
423	34	23	8
424	10	29	19
425	20	29	11
426	11	32	20
427	11	30	20
428	19	28	10
429	9	27	17
430	32	22	13
431	24	38	9
432	36	22	9
433	10	31	19
434	6	19	30
435	9	17	27
436	12	21	31
