Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	786	32893	801
1	15	5	31945
2	1581	1571	29690
3	28469	380	391
4	32	21	45820
5	2024	34123	2035
6	1907	1896	38011
7	3668	3657	39772
8	35179	3066	3076
9	148	40277	159
10	34538	2443	2454
11	5112	41197	5102
12	42520	4308	2364
13	3223	3233	27304
14	2529	30615	2519
15	5855	37946	5867
16	3262	3272	43381
17	7	18	40848
18	1138	1148	37269
19	2437	2427	22496
20	2731	30820	2721
21	787	776	42960
22	4	14	36326
23	1732	1742	29832
24	4436	36541	4447
25	1922	1932	30019
26	2795	22870	2806
27	977	43206	988
28	2933	2943	27017
29	30171	2075	2086
30	47491	1290	1280
31	1790	25887	1800
32	4411	4400	40510
33	14	5	32102
34	31194	3117	3107
35	2728	38828	2739
36	204	214	36311
37	2804	2814	30895
38	1941	1931	30040
39	2777	2767	30866
40	1751	1761	33842
41	625	32711	635
42	27362	3281	3292
43	3007	3017	35104
44	36225	128	118
45	24181	112	102
46	767	37224	758
47	1792	1782	17846
48	32627	529	519
49	37238	1127	1138
50	479	468	38655
51	2473	2463	42950
52	1519	29601	1509
53	1079	1090	43301
54	63	24136	74
55	1293	37387	1303
56	57	28138	67
57	2970	2960	39103
58	1676	1686	33785
59	5277	5287	41395
60	38861	678	668
61	4685	4675	41159
62	4144	4154	36240
63	47318	3170	3181
64	3432	3422	23500
65	4269	4259	40356
66	34221	2113	2124
67	25469	1392	1402
68	27455	3375	3365
69	3056	47185	3067
70	2880	2891	34971
71	1276	33372	1267
72	27487	3409	3419
73	3562	39674	3573
74	15	41961	5
75	7	17	39454
76	1129	33224	1140
77	1449	41561	1460
78	33935	1844	1834
79	2458	38558	2449
80	909	28987	920
81	1196	29270	1187
82	1725	29819	1736
83	4760	40872	4750
84	38	40156	49
85	27602	8	19
86	4975	41076	4986
87	972	39143	982
88	25854	1789	1779
89	4145	36241	4155
90	18	8	27504
91	41160	1041	1052
92	4958	4948	41054
93	40380	258	249
94	18	41739	8
95	30928	2844	2835
96	35724	3634	3624
97	821	24893	811
98	2114	22179	2105
99	3103	31182	3094
100	5263	37365	5253
101	211	32322	221
102	3173	3183	39283
103	31416	3331	3321
104	3734	39844	3744
105	22087	2016	2006
106	8	39502	19
107	40697	4588	4598
108	33463	1360	1370
109	1473	1483	33584
110	2889	30958	2879
111	18	8	19514
112	2394	42512	2404
113	2810	42918	2800
114	35777	6	16
115	38393	2287	2277
116	2173	30270	2185
117	2055	34155	2066
118	36866	764	754
119	2506	30591	2496
120	1708	29790	1719
121	15	31047	6
122	3514	39617	3504
123	39136	3054	3045
124	1064	1074	37139
