Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	65	54	74
1	16	26	36
2	78	87	69
3	61	82	72
4	86	107	97
5	64	73	55
6	107	86	97
7	89	98	80
8	51	61	71
9	96	87	77
10	75	84	65
11	86	66	76
12	86	15	5
13	70	50	60
14	9	76	19
15	15	35	25
16	9	77	19
17	71	92	82
18	37	17	27
19	40	20	30
20	64	73	54
21	106	115	97
22	34	23	44
23	42	32	52
24	72	92	82
25	54	63	44
26	37	28	18
27	48	58	67
28	58	37	48
29	53	64	74
30	15	25	35
31	51	42	32
32	5	26	16
33	96	86	106
34	45	35	54
35	70	61	51
36	36	46	56
37	39	30	20
38	15	5	25
39	18	38	29
40	99	89	108
41	86	106	96
42	18	27	8
43	64	44	54
44	104	113	94
45	54	45	35
46	13	34	24
47	24	45	35
48	88	107	97
49	99	78	89
50	40	49	30
51	41	31	50
52	49	59	69
53	52	42	61
54	36	17	26
55	90	80	8
56	60	39	50
57	85	75	65
58	49	39	59
59	49	25	37
60	67	76	58
61	32	22	42
62	80	89	70
63	107	87	98
64	29	37	19
65	19	29	38
66	33	23	43
67	96	86	105
68	46	67	57
69	50	71	61
70	51	31	41
71	27	47	37
72	60	51	41
73	57	67	77
74	35	56	46
75	23	32	13
76	26	35	16
77	64	43	54
78	109	88	99
79	46	26	37
80	43	33	53
81	104	95	85
82	69	49	59
83	62	82	72
84	34	13	24
85	97	76	87
86	46	36	27
87	20	41	31
88	46	36	55
89	93	114	104
90	46	56	66
91	28	18	38
92	90	80	8
93	108	88	98
94	51	30	41
95	48	39	29
96	40	61	51
97	43	33	53
98	107	97	88
99	84	105	95
100	82	63	72
101	16	25	6
102	69	78	60
103	105	95	86
104	101	92	82
105	93	83	102
106	61	40	51
107	89	109	99
108	27	36	17
109	43	22	33
110	92	81	101
111	50	40	60
112	8	76	87
113	8	76	19
114	6	73	16
115	84	73	93
116	23	44	34
117	55	64	46
118	61	71	81
119	6	16	74
120	88	17	7
121	52	62	72
122	32	41	23
123	107	87	97
124	92	82	102
125	65	55	74
126	79	59	69
127	18	80	8
128	42	51	32
129	108	6	99
130	66	75	56
131	14	35	25
132	98	78	89
133	70	60	79
134	62	52	72
135	61	52	42
136	88	97	78
137	47	56	37
138	98	89	79
139	34	55	45
140	56	65	47
141	99	78	89
142	76	54	66
143	70	90	80
144	19	9	29
145	84	94	104
146	69	78	59
147	89	98	80
148	70	60	50
149	94	85	103
150	16	26	35
151	46	56	66
152	31	40	21
153	63	84	74
154	57	67	76
155	74	83	64
156	5	72	83
157	105	95	114
158	26	6	16
159	94	114	104
160	32	53	43
161	84	93	74
162	104	83	94
163	16	6	79
164	29	19	38
165	69	78	59
166	47	26	37
167	91	81	9
168	70	61	51
169	31	40	21
170	82	73	64
171	88	79	69
172	88	97	79
173	89	68	79
174	100	79	90
175	20	10	30
176	115	95	106
177	64	84	74
178	63	83	73
179	91	101	111
180	103	94	112
181	88	97	78
182	95	85	105
183	7	28	18
184	50	59	40
185	38	28	47
186	44	24	34
187	84	74	94
188	27	36	18
189	93	73	83
190	70	79	61
191	52	43	33
192	35	14	25
193	64	73	54
194	69	60	78
195	82	72	91
196	62	71	52
197	54	75	65
198	71	50	61
199	89	79	98
200	42	31	51
201	56	46	65
202	60	50	41
