Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	238	270	260
1	338	362	352
2	472	495	485
3	441	452	428
4	851	875	864
5	764	787	777
6	302	289	313
7	747	758	735
8	367	379	390
9	553	566	577
10	34	24	11
11	465	454	442
12	608	619	596
13	404	417	428
14	10	23	1005
15	128	118	106
16	1001	991	1010
17	282	258	272
18	305	282	294
19	758	782	771
20	644	621	634
21	80	56	70
22	758	771	782
23	64	77	88
24	815	792	805
25	816	839	829
26	255	267	279
27	535	523	547
28	722	746	736
29	453	464	441
30	824	811	835
31	453	443	462
32	720	708	732
33	199	222	212
34	423	399	412
35	197	208	185
36	917	927	904
37	728	719	706
38	548	571	561
39	709	697	720
40	345	358	369
41	706	717	694
42	1002	990	1013
43	37	48	25
44	24	47	37
45	741	729	753
46	833	822	810
47	524	509	533
48	173	150	163
49	855	842	866
50	953	943	930
51	305	282	295
52	717	727	705
53	15	38	27
54	199	186	210
55	106	119	130
56	193	205	216
57	722	711	699
58	641	628	652
59	897	920	910
60	248	271	261
61	134	123	111
62	53	42	30
63	853	830	843
64	577	566	554
65	189	176	200
66	589	576	600
67	961	949	972
68	631	643	654
69	407	419	430
70	173	184	161
71	22	45	35
72	7	19	1002
73	114	103	91
74	866	856	844
75	535	546	523
76	516	493	506
77	838	861	851
78	315	304	292
79	612	589	602
80	59	82	72
81	142	132	120
82	525	513	537
83	243	230	254
84	743	720	733
85	726	736	714
86	722	699	712
87	808	785	798
88	420	410	398
89	809	797	820
90	804	827	817
91	498	486	509
92	741	717	730
93	331	342	319
94	636	625	613
95	558	548	536
96	601	578	591
97	372	349	362
98	302	315	326
99	689	712	702
100	506	496	484
101	410	387	400
102	132	121	108
103	326	337	314
104	825	801	814
105	116	104	127
106	950	926	939
107	589	612	602
108	923	946	936
109	943	930	954
110	762	785	775
111	665	642	655
112	220	209	197
113	449	436	460
114	415	403	426
115	19	43	32
116	19	1003	7
117	1002	7	20
118	56	79	69
119	63	52	40
120	227	204	217
121	962	939	952
122	534	545	522
123	794	817	807
124	739	750	727
125	577	564	588
126	803	780	792
127	271	258	282
128	17	40	30
129	194	170	184
130	36	23	47
131	778	801	791
132	137	149	160
133	565	554	542
134	672	660	683
135	827	815	838
136	339	352	363
137	762	751	739
138	283	294	271
139	53	42	30
140	612	599	623
141	38	15	28
142	881	869	893
143	1013	9	1000
144	872	859	883
145	56	43	67
146	244	254	231
147	69	58	46
148	244	231	255
149	261	239	251
150	854	841	865
151	647	670	660
152	433	457	446
153	257	245	268
154	643	619	633
155	32	44	56
156	88	78	97
157	474	484	462
158	60	49	37
159	69	58	45
160	580	557	569
161	754	741	765
162	613	624	600
163	219	206	230
164	738	762	751
165	901	888	912
166	623	646	636
167	280	268	291
168	704	727	717
169	186	207	197
170	947	924	937
171	996	1020	1009
172	284	272	296
173	164	187	177
174	223	234	211
175	159	170	147
176	794	782	806
177	601	590	578
178	872	896	886
179	678	668	655
180	173	161	184
181	821	797	810
182	465	452	476
183	837	860	850
184	42	54	65
185	476	463	487
186	567	556	544
187	985	962	975
188	712	702	689
189	938	962	952
190	96	84	108
191	928	916	939
192	969	981	991
193	532	510	522
194	30	19	39
195	605	596	586
196	320	306	331
197	949	925	938
198	344	331	354
199	442	453	430
200	666	679	690
201	40	51	28
202	594	617	607
203	864	840	854
204	429	450	441
205	623	636	647
206	769	780	757
207	169	180	157
208	323	310	334
209	268	257	244
210	871	895	884
211	84	60	73
212	873	896	886
213	547	534	558
214	790	779	766
215	143	123	133
216	748	771	761
217	652	673	663
218	307	331	320
219	381	370	358
220	793	782	802
221	681	670	658
222	745	721	735
223	267	280	291
224	1005	11	24
225	246	269	259
226	353	342	330
227	95	119	108
228	113	102	90
229	366	355	375
230	345	368	358
231	334	347	358
232	549	572	562
233	139	115	128
234	475	486	463
235	860	848	871
236	405	416	393
237	148	171	161
238	919	906	930
239	326	337	347
240	393	380	404
241	1032	1043	1053
242	22	9	33
243	598	574	588
244	406	392	417
245	687	676	664
246	883	907	896
247	763	774	751
248	904	893	881
249	872	859	883
250	488	503	514
251	45	69	59
252	611	598	623
253	547	571	561
254	306	295	283
255	741	728	752
256	47	72	61
257	477	490	501
258	442	453	462
259	446	468	458
260	286	277	267
261	23	34	44
262	131	142	152
263	185	175	195
264	736	749	761
265	445	466	456
266	456	467	443
267	469	459	479
268	700	689	676
269	325	303	315
270	489	476	501
271	248	259	268
272	757	770	781
273	235	246	223
274	793	807	818
275	286	296	306
276	795	784	768
277	684	671	695
278	713	735	725
279	414	423	404
280	1006	10	23
281	1004	980	993
282	130	119	106
283	667	656	644
284	408	418	428
285	485	471	498
286	43	67	57
287	772	761	781
288	251	262	239
289	807	818	795
290	70	57	81
291	677	664	689
292	261	249	273
293	263	252	240
294	485	498	509
295	754	733	744
296	577	556	567
297	150	140	127
298	396	409	420
299	341	364	354
300	512	500	523
301	233	256	246
302	825	812	836
303	191	181	168
304	431	407	420
305	131	142	119
306	487	476	464
307	148	158	135
308	255	246	236
309	481	471	461
310	682	671	658
311	892	904	915
312	702	713	723
313	365	341	354
314	165	152	176
315	600	577	590
316	730	753	743
317	110	120	97
318	288	301	312
319	839	816	829
320	463	453	443
321	88	98	75
322	167	158	148
323	455	468	479
324	83	72	60
325	206	195	183
326	777	763	788
327	719	743	733
328	1058	1072	941
329	692	701	682
330	360	381	371
331	761	772	749
332	780	767	791
333	256	246	265
334	205	216	193
335	934	957	947
336	61	74	85
337	700	687	711
338	572	583	560
339	519	495	508
340	356	332	345
341	864	873	854
342	664	651	675
343	435	458	448
344	875	852	865
345	888	877	865
346	748	761	772
347	987	977	965
348	952	975	965
349	975	986	963
350	226	215	203
351	192	169	182
352	891	868	881
353	162	175	186
354	58	68	45
355	273	286	297
356	153	164	141
357	137	124	148
358	762	750	774
359	334	311	324
360	299	276	289
361	943	930	954
362	650	639	627
363	66	53	77
364	86	97	74
365	568	581	592
366	195	208	219
367	154	143	131
368	999	976	989
369	72	61	49
370	492	516	506
371	627	614	638
372	870	859	847
373	378	389	366
374	663	652	640
375	826	813	837
376	223	246	236
377	463	486	476
378	476	487	464
379	134	111	124
380	730	753	743
381	79	103	92
382	564	554	542
383	171	194	184
384	515	538	527
385	347	359	371
386	49	59	37
387	264	276	287
388	847	859	872
389	148	172	161
390	918	941	931
391	677	662	687
392	3210	3199	3219
393	530	517	541
394	248	236	259
395	370	393	383
396	189	213	202
397	270	284	257
398	350	363	374
399	515	526	503
400	666	679	690
401	321	334	345
402	800	821	811
403	807	797	784
404	891	868	881
405	63	40	53
406	596	620	610
407	765	776	753
408	835	825	813
409	160	149	137
410	905	926	916
411	28	19	8
412	151	175	165
413	727	740	751
414	984	997	1008
415	714	702	726
416	202	215	226
417	243	222	233
418	571	584	595
419	332	343	320
420	763	784	774
421	730	707	720
422	273	260	284
423	423	447	437
424	115	104	92
425	981	957	970
426	987	1010	1000
427	867	891	880
428	944	931	955
429	18	31	8
430	277	263	288
431	986	975	963
432	181	194	205
433	701	714	725
434	145	157	169
435	672	659	683
436	954	979	967
437	890	866	879
438	480	470	457
439	859	882	871
440	883	906	896
441	613	626	637
442	550	573	562
443	566	590	579
444	794	771	783
445	961	950	938
446	636	649	660
447	666	677	654
448	926	903	916
449	662	686	675
450	810	830	820
451	638	651	662
452	288	299	276
453	218	206	229
454	533	522	510
455	45	32	56
456	238	255	266
457	757	746	734
458	830	843	854
459	844	857	868
460	852	876	865
461	477	498	488
462	154	144	163
463	495	484	471
464	742	729	754
465	1362	1350	1371
466	663	639	653
467	465	485	475
468	608	621	633
469	356	332	345
470	240	263	253
471	954	965	941
472	688	711	701
473	447	471	460
474	1001	11	1014
475	593	617	606
476	171	182	159
477	629	653	643
478	547	564	534
479	485	496	472
